BEGIN
 year | t_div | o_div | won | lost | tied | count 
 2012 |     1 |     3 |  52 |   22 |    8 |    82
 2012 |     2 |     2 |   1 |    1 |    0 |     2
 2012 |     2 |     3 |  18 |   19 |    2 |    39
 2012 |     3 |     3 | 539 |  539 |  118 |  1196
 2013 |     1 |     1 | 550 |  550 |   98 |  1198
 2013 |     1 |     2 |  16 |    6 |    2 |    24
 2013 |     1 |     3 |  46 |   14 |   12 |    72
 2013 |     2 |     2 |   6 |    6 |    0 |    12
 2013 |     2 |     3 |  21 |   25 |    4 |    50
 2013 |     3 |     3 | 551 |  551 |  100 |  1202
 2014 |     1 |     1 | 548 |  548 |  114 |  1210
 2014 |     1 |     2 |   4 |   14 |    6 |    24
 2014 |     1 |     3 |  32 |   26 |   10 |    68
 2014 |     2 |     2 |   6 |    6 |    0 |    12
 2014 |     2 |     3 |  32 |   18 |    3 |    53
 2014 |     3 |     3 | 572 |  572 |  112 |  1256
 2015 |     1 |     1 | 552 |  552 |  118 |  1222
 2015 |     1 |     2 |  14 |   10 |    2 |    26
 2015 |     1 |     3 |  30 |   26 |   10 |    66
 2015 |     2 |     2 |   9 |    9 |    0 |    18
 2015 |     2 |     3 |  29 |   16 |    3 |    49
 2015 |     3 |     3 | 579 |  579 |  122 |  1280
 2016 |     1 |     1 | 534 |  534 |  114 |  1182
 2016 |     1 |     2 |  16 |   10 |    2 |    28
 2016 |     1 |     3 |  52 |   16 |    2 |    70
 2016 |     2 |     2 |   9 |    9 |    0 |    18
 2016 |     2 |     3 |  30 |   16 |    2 |    49
 2016 |     3 |     3 | 660 |  660 |  110 |  1440
(98 rows)

COMMIT
