BEGIN
SET
    date    |        team         | h_div |  site   |         opp         | v_div | t_score | o_score 
 2013-03-13 | Denison             |     3 | neutral | St. Mary's (MD)     |     3 |    15.1 |     6.5
 2013-03-13 | Elmira              |     3 | home    | Oswego St.          |     3 |     7.3 |    16.1
 2013-03-13 | Fla. Southern       |     2 | home    | Adams St.           |     2 |     7.4 |     8.6
 2013-03-13 | Frank. & Marsh.     |     3 | home    | Susquehanna         |     3 |    10.6 |     6.8
 2013-03-13 | Frostburg St.       |     3 | home    | Elizabethtown       |     3 |     5.3 |     4.1
 2013-03-13 | Gettysburg          |     3 | home    | Cabrini             |     3 |    12.3 |     7.6
 2013-03-13 | Gordon              |     3 | home    | Cobleskill St.      |     3 |     3.9 |    11.3
 2013-03-13 | Goucher             |     3 | home    | Mary Washington     |     3 |    10.7 |    14.4
 2013-03-13 | Guilford            |     3 | home    | Farmingdale St.     |     3 |    13.9 |     5.8
 2013-03-13 | Gwynedd-Mercy       |     3 | home    | Marymount (VA)      |     3 |     7.1 |    14.5
 2013-03-13 | Immaculata          |     3 | home    | Widener             |     3 |     4.6 |    12.2
 2013-03-13 | Kings (PA)          |     3 | home    | Marywood            |     3 |    11.5 |     6.4
 2013-03-13 | Manhattanville      |     3 | home    | Curry               |     3 |     5.8 |    11.1
 2013-03-13 | McDaniel            |     3 | home    | Lynchburg           |     3 |     7.3 |    10.8
 2013-03-13 | Middlebury          |     3 | home    | Springfield         |     3 |     9.7 |    10.7
 2013-03-13 | Misericordia        |     3 | home    | Hood                |     3 |    10.8 |     3.7
 2013-03-13 | Mitchell            |     3 | home    | Husson              |     3 |     6.6 |     6.7
 2013-03-13 | Mt. St. Joseph      |     3 | home    | Otterbein           |     3 |     5.6 |     6.7
 2013-03-13 | North Carolina      |     1 | home    | Duke                |     1 |    15.2 |    11.1
 2013-03-13 | Notre Dame de Namur |     2 | neutral | Ohio Valley         |     2 |     4.3 |     7.2
 2013-03-13 | NYIT                |     2 | home    | Tampa               |     2 |    14.1 |     8.1
 2013-03-13 | Oberlin             |     3 | home    | Adrian              |     3 |     6.7 |     7.0
 2013-03-13 | Ohio Valley         |     2 | neutral | Notre Dame de Namur |     2 |     7.2 |     4.3
 2013-03-13 | Piedmont            |     3 | home    | Bridgewater (VA)    |     3 |     7.1 |     7.4
 2013-03-13 | Plattsburgh St.     |     3 | home    | Morrisville St.     |     3 |    20.0 |     6.1
 2013-03-13 | Queens (NC)         |     2 | home    | Catawba             |     2 |    12.1 |     8.7
 2013-03-13 | Randolph-Macon      |     3 | home    | Ferrum              |     3 |    13.6 |     9.5
 2013-03-13 | Salem St.           |     3 | home    | Mount Ida           |     3 |    10.6 |     5.6
 2013-03-13 | Salisbury           |     3 | home    | York (PA)           |     3 |    14.6 |     8.3
 2013-03-13 | Sewanee             |     3 | home    | Kean                |     3 |     9.2 |    10.2
 2013-03-13 | Shenandoah          |     3 | home    | Southwestern (TX)   |     3 |     8.9 |     8.8
 2013-03-13 | Southern N.H.       |     2 | home    | LIU Post            |     2 |     6.6 |    12.0
 2013-03-13 | Stevens Institute   |     3 | neutral | SUNY Cortland       |     3 |     6.7 |    11.8
 2013-03-13 | St. Marys (MD)      |     3 | neutral | Denison             |     3 |     6.5 |    15.1
 2013-03-13 | SUNY Cortland       |     3 | neutral | Stevens             |     3 |    11.8 |     6.7
 2013-03-13 | SUNY Maritime       |     3 | home    | Merchant Marine     |     3 |     5.5 |    10.0
 2013-03-13 | Ursinus             |     3 | home    | Montclair St.       |     3 |    12.0 |     9.3
 2013-03-13 | Vassar              |     3 | home    | Western Conn. St.   |     3 |     9.7 |    15.1
 2013-03-13 | Wesleyan (CT)       |     3 | home    | Lasell              |     3 |    10.7 |    10.3
 2013-03-13 | Whittier            |     3 | home    | Swarthmore          |     3 |    13.2 |    10.0
 2013-03-14 | Chris. Newport      |     3 | home    | Ithaca              |     3 |    10.1 |     5.6
 2013-03-14 | Fairfield           |     1 | home    | Michigan            |     1 |    11.9 |     6.1
 2013-03-14 | Fontbonne           |     3 | home    | Millsaps            |     3 |     7.3 |     9.9
 2013-03-14 | Mass.-Boston        |     3 | home    | Wentworth Inst.     |     3 |     5.6 |     6.9
 2013-03-14 | Neumann             |     3 | home    | DeSales             |     3 |     7.0 |    15.8
 2013-03-14 | Randolph            |     3 | home    | Franciscan          |     3 |    19.9 |     5.5
 2013-03-14 | Rollins             |     2 | home    | Molloy              |     2 |     8.0 |    15.3
 2013-03-14 | Washington Col.     |     3 | home    | Ohio Wesleyan       |     3 |     9.3 |     8.2
 2013-03-15 | Bethany (WV)        |     3 | home    | Hope                |     3 |     3.9 |    27.4
 2013-03-15 | Birmingham-So.      |     3 | home    | Kean                |     3 |     9.5 |    12.0
 2013-03-15 | Catawba             |     2 | home    | Florida Tech        |     2 |    13.7 |    11.8
 2013-03-15 | Eastern             |     3 | home    | Gettysburg          |     3 |     7.9 |     8.9
 2013-03-15 | Keene St.           |     3 | neutral | Swarthmore          |     3 |    15.1 |    12.6
 2013-03-15 | Lebanon Valley      |     3 | home    | FDU-Florham         |     3 |    16.4 |     5.2
 2013-03-15 | Lenoir-Rhyne        |     2 | home    | Saint Leo           |     2 |     9.1 |    10.6
 2013-03-15 | Nazareth            |     3 | home    | Roger Williams      |     3 |    14.0 |     7.1
 2013-03-15 | Randolph            |     3 | home    | Roanoke             |     3 |     6.6 |    16.6
 2013-03-15 | Rochester Inst.     |     3 | home    | Western New Eng.    |     3 |    10.9 |     5.7
 2013-03-15 | Salve Regina        |     3 | home    | Mt. St. Vincent     |     3 |    10.1 |     9.4
 2013-03-15 | St. John Fisher     |     3 | home    | Endicott            |     3 |    12.0 |     6.3
 2013-03-15 | Swarthmore          |     3 | neutral | Keene St.           |     3 |    12.6 |    15.1
 2013-03-16 | Air Force           |     1 | neutral | Loyola Maryland     |     1 |     9.5 |    12.8
 2013-03-16 | Albright            |     3 | home    | Gwynedd-Mercy       |     3 |    18.4 |     7.6
 2013-03-16 | Army                |     1 | home    | Lehigh              |     1 |     7.9 |     9.3
 2013-03-16 | Aurora              |     3 | home    | Hanover             |     3 |    20.6 |     5.3
 2013-03-16 | Babson              |     3 | neutral | Colorado Col.       |     3 |     9.7 |    12.5
 2013-03-16 | Bates               |     3 | home    | Wesleyan (CT)       |     3 |     9.0 |     8.9
 2013-03-16 | Bellarmine          |     1 | home    | Mercer              |     1 |    11.3 |     5.4
 2013-03-16 | Belmont Abbey       |     2 | home    | Queens (NC)         |     2 |     8.4 |     9.1
 2013-03-16 | Benedictine (IL)    |     3 | neutral | Trine               |     3 |     9.3 |     8.3
 2013-03-16 | Binghamton          |     1 | home    | Manhattan           |     1 |     9.2 |     4.9
 2013-03-16 | Brockport           |     3 | home    | Elmira              |     3 |    14.1 |     7.1
 2013-03-16 | Brown               |     1 | home    | Harvard             |     1 |     9.3 |     7.4
 2013-03-16 | Bryant              |     1 | home    | Albany (NY)         |     1 |    11.8 |    15.4
 2013-03-16 | Cabrini             |     3 | home    | SUNY Cortland       |     3 |     4.8 |    11.4
 2013-03-16 | Carthage            |     3 | home    | Mt. St. Joseph      |     3 |    16.3 |     5.3
 2013-03-16 | Castleton           |     3 | home    | Plymouth St.        |     3 |     6.1 |    17.1
 2013-03-16 | Centenary (NJ)      |     3 | home    | Penn St.-Abington   |     3 |    51.8 |     2.3
 2013-03-16 | Clark (MA)          |     3 | home    | Mass.-Boston        |     3 |    17.5 |     6.1
 2013-03-16 | Clarkson            |     3 | home    | SUNY Geneseo        |     3 |    11.3 |     6.9
 2013-03-16 | Colorado Col.       |     3 | neutral | Babson              |     3 |    12.5 |     9.7
 2013-03-16 | Defiance            |     3 | home    | Olivet              |     3 |     5.2 |    32.5
 2013-03-16 | Delaware            |     1 | home    | Hofstra             |     1 |     6.2 |    10.3
 2013-03-16 | Denver              |     1 | neutral | Notre Dame          |     1 |    10.3 |    11.2
 2013-03-16 | DeSales             |     3 | home    | Immaculata          |     3 |    17.3 |     6.6
 2013-03-16 | Dowling             |     2 | home    | Tampa               |     2 |     9.2 |     7.2
 2013-03-16 | Drew                |     3 | home    | Susquehanna         |     3 |     8.8 |    11.3
 2013-03-16 | Drexel              |     1 | home    | Mt. St. Mary's      |     1 |    18.9 |    10.8
 2013-03-16 | Duke                |     1 | home    | Towson              |     1 |    12.5 |     8.1
 2013-03-16 | Eastern             |     3 | home    | Wesley              |     3 |    13.1 |     5.3
 2013-03-16 | Elizabethtown       |     3 | home    | Stevenson           |     3 |     4.2 |     8.2
 2013-03-16 | Emmanuel (MA)       |     3 | neutral | Keuka               |     3 |    14.2 |     6.0
 2013-03-16 | Ferrum              |     3 | home    | Piedmont            |     3 |    13.4 |     5.6
 2013-03-16 | Fla. Southern       |     2 | neutral | Pfeiffer            |     2 |     5.9 |    12.0
 2013-03-16 | Fontbonne           |     3 | home    | Concordia (WI)      |     3 |     6.0 |    13.2
 2013-03-16 | Franciscan          |     3 | home    | La Roche            |     3 |     9.0 |    24.9
 2013-03-16 | Georgetown          |     1 | home    | Providence          |     1 |     7.5 |    10.0
 2013-03-16 | Gordon              |     3 | neutral | Messiah             |     3 |     5.1 |    15.9
 2013-03-16 | Guilford            |     3 | home    | Lynchburg           |     3 |     9.1 |    10.4
 2013-03-16 | Hampden-Sydney      |     3 | home    | Bridgewater (VA)    |     3 |    15.6 |     3.0
 2013-03-16 | Haverford           |     3 | home    | Skidmore            |     3 |    12.5 |    11.1
 2013-03-16 | Huntingdon          |     3 | home    | Berry               |     3 |     5.7 |    14.3
 2013-03-16 | Jacksonville        |     1 | home    | Siena               |     1 |    12.0 |    11.9
 2013-03-16 | Kenyon              |     3 | home    | Mount Union         |     3 |    11.9 |     6.6
 2013-03-16 | Keuka               |     3 | neutral | Emmanuel (MA)       |     3 |     6.0 |    14.2
 2013-03-16 | Lafayette           |     1 | home    | Bucknell            |     1 |     6.7 |     9.5
 2013-03-16 | Le Moyne            |     2 | neutral | Limestone           |     2 |    10.7 |     6.6
 2013-03-16 | Limestone           |     2 | neutral | Le Moyne            |     2 |     6.6 |    10.7
 2013-03-16 | Loyola Maryland     |     1 | neutral | Air Force           |     1 |    12.8 |     9.5
 2013-03-16 | Marist              |     1 | home    | Detroit             |     1 |    11.7 |     7.3
 2013-03-16 | Marymount (VA)      |     3 | home    | Southwestern (TX)   |     3 |    11.3 |     7.2
 2013-03-16 | Mary Washington     |     3 | home    | Whittier            |     3 |    13.4 |     9.8
 2013-03-16 | Marywood            |     3 | home    | Scranton            |     3 |     7.4 |     9.1
 2013-03-16 | Massachusetts       |     1 | home    | Penn St.            |     1 |    10.5 |     9.4
 2013-03-16 | McDaniel            |     3 | home    | Farmingdale St.     |     3 |    11.2 |     6.0
 2013-03-16 | Merchant Marine     |     3 | home    | Catholic            |     3 |     8.2 |     6.2
 2013-03-16 | Messiah             |     3 | neutral | Gordon              |     3 |    15.9 |     5.1
 2013-03-16 | Misericordia        |     3 | home    | Alvernia            |     3 |    13.7 |     5.3
 2013-03-16 | Montclair St.       |     3 | home    | Manhattanville      |     3 |    14.8 |     3.8
 2013-03-16 | New England Col.    |     3 | neutral | Rensselaer          |     3 |     6.0 |    10.5
 2013-03-16 | Notre Dame          |     1 | neutral | Denver              |     1 |    11.2 |    10.3
 2013-03-16 | Oberlin             |     3 | home    | Alma                |     3 |    12.6 |     2.9
 2013-03-16 | Penn                |     1 | home    | Princeton           |     1 |     9.4 |    10.7
 2013-03-16 | Pfeiffer            |     2 | neutral | Fla. Southern       |     2 |    12.0 |     5.9
 2013-03-16 | Quinnipiac          |     1 | home    | Hartford            |     1 |    12.6 |     6.9
 2013-03-16 | Rensselaer          |     3 | neutral | New England Col.    |     3 |    10.5 |     6.0
 2013-03-16 | Rhodes              |     3 | home    | Transylvania        |     3 |    10.8 |     6.4
 2013-03-16 | Richard Stockton    |     3 | home    | Muhlenberg          |     3 |     6.9 |     7.9
 2013-03-16 | Rivier              |     3 | home    | Mount Ida           |     3 |     5.2 |    13.5
 2013-03-16 | Rollins             |     2 | home    | Adams St.           |     2 |     7.1 |     9.6
 2013-03-16 | Sacred Heart        |     1 | home    | Stony Brook         |     1 |    10.8 |    11.5
 2013-03-16 | Sewanee             |     3 | home    | Centre              |     3 |     7.1 |     6.5
 2013-03-16 | Southern Me.        |     3 | home    | Maine Maritime      |     3 |    14.6 |     9.6
 2013-03-16 | Southern N.H.       |     2 | home    | Assumption          |     2 |     7.5 |     6.1
 2013-03-16 | Springfield         |     3 | home    | Union (NY)          |     3 |    11.0 |    10.1
 2013-03-16 | St. Johns (NY)      |     1 | home    | Rutgers             |     1 |    11.3 |     8.9
 2013-03-16 | St. Josephs         |     1 | home    | Marquette           |     1 |     7.0 |     6.8
 2013-03-16 | St. Josephs (ME)    |     3 | home    | Anna Maria          |     3 |    11.1 |     6.6
 2013-03-16 | Syracuse            |     1 | home    | Johns Hopkins       |     1 |     7.8 |     8.9
 2013-03-16 | Trine               |     3 | neutral | Benedictine (IL)    |     3 |     8.3 |     9.3
 2013-03-16 | UMBC                |     1 | home    | High Point          |     1 |    12.8 |     8.9
 2013-03-16 | Vassar              |     3 | home    | Mt. St. Mary (NY)   |     3 |    11.6 |    10.4
 2013-03-16 | Va. Wesleyan        |     3 | home    | Shenandoah          |     3 |    16.3 |     6.8
 2013-03-16 | Vermont             |     1 | home    | Wagner              |     1 |    13.3 |     8.1
 2013-03-16 | Villanova           |     1 | home    | Maryland            |     1 |     7.4 |    13.6
 2013-03-16 | Virginia            |     1 | home    | Ohio St.            |     1 |     9.6 |    10.5
 2013-03-16 | VMI                 |     1 | home    | Canisius            |     1 |     5.3 |    10.9
 2013-03-16 | Wash. & Jeff.       |     3 | home    | Goucher             |     3 |    10.0 |    10.3
 2013-03-16 | Wash. & Lee         |     3 | home    | Randolph-Macon      |     3 |    17.6 |     6.5
 2013-03-16 | Western Conn. St.   |     3 | home    | Plattsburgh St.     |     3 |    10.1 |    13.2
 2013-03-16 | Wheeling Jesuit     |     2 | home    | Chestnut Hill       |     2 |    15.5 |    10.3
 2013-03-16 | Widener             |     3 | home    | Dickinson           |     3 |     5.6 |     8.0
 2013-03-16 | Wittenberg          |     3 | home    | Saint Vincent       |     3 |    11.6 |     8.3
 2013-03-16 | Yale                |     1 | home    | Cornell             |     1 |     9.2 |    12.5
 2013-03-16 | York (PA)           |     3 | home    | Frank. & Marsh.     |     3 |    11.9 |     9.6
(214 rows)

COMMIT
