2022,Fri.,20211008,10/8/2021,7:07 CT,Niagara,niagara,/team/niagara/mens-hockey/,Niagara,2,@,North Dakota,north-dakota,/team/north-dakota/mens-hockey/,North Dakota,6,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:00 ET,Union,union,/team/union/mens-hockey/,Union,1,@,New Hampshire,new-hampshire,/team/new-hampshire/mens-hockey/,New Hampshire,4,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:07 CT,Maine,maine,/team/maine/mens-hockey/,Maine,1,@,Nebraska-Omaha,nebraska-omaha,/team/nebraska-omaha/mens-hockey/,Nebraska-Omaha,4,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:05 ET,Colgate,colgate,/team/colgate/mens-hockey/,Colgate,5,@,Vermont,vermont,/team/vermont/mens-hockey/,Vermont,3,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:00 CT,Michigan Tech,michigan-tech,/team/michigan-tech/mens-hockey/,Michigan Tech,5,@,Wisconsin,wisconsin,/team/wisconsin/mens-hockey/,Wisconsin,2,,,NC,Box Score,BSW
2022,Fri.,20211008,10/8/2021,7:05 ET,Ferris State,ferris-state,/team/ferris-state/mens-hockey/,Ferris State,0,@,Western Michigan,western-michigan,/team/western-michigan/mens-hockey/,Western Michigan,4,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,4:30 ET,Quinnipiac,quinnipiac,/team/quinnipiac/mens-hockey/,Quinnipiac,2,vs.,Boston College,boston-college,/team/boston-college/mens-hockey/,Boston College,2,OT,IceBreaker,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:30 ET,Northeastern,northeastern,/team/northeastern/mens-hockey/,Northeastern,3,vs.,Holy Cross,holy-cross,/team/holy-cross/mens-hockey/,Holy Cross,0,,IceBreaker,NC,Box Score,
2022,Sat.,20211009,10/9/2021,4:05 ET,RIT,rit,/team/rit/mens-hockey/,RIT,2,@,Army West Point,army,/team/army/mens-hockey/,Army West Point,2,OT,"Army wins SO, 1-0",AH,Box Score,
2022,Sat.,20211009,10/9/2021,6:37 ET,St. Thomas,st-thomas,/team/st-thomas/mens-hockey/,St. Thomas,3,@,Northern Michigan,northern-michigan,/team/northern-michigan/mens-hockey/,Northern Michigan,8,,,CC2,Box Score,
2022,Sat.,20211009,10/9/2021,7:00 ET,Connecticut,connecticut,/team/connecticut/mens-hockey/,Connecticut,5,@,Boston University,boston-university,/team/boston-university/mens-hockey/,Boston University,1,,,HE,Box Score,
2022,Sat.,20211009,10/9/2021,7:05 ET,Providence,providence,/team/providence/mens-hockey/,Providence,5,@,American International,american-international,/team/american-international/mens-hockey/,American International,1,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,6:05 ET,Ohio State,ohio-state,/team/ohio-state/mens-hockey/,Ohio State,7,@,Bentley,bentley,/team/bentley/mens-hockey/,Bentley,1,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,6:07 MT,St. Lawrence,st-lawrence,/team/st-lawrence/mens-hockey/,St. Lawrence,1,@,Colorado College,colorado-college,/team/colorado-college/mens-hockey/,Colorado College,1,OT,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,6:07 MT,Arizona State,arizona-state,/team/arizona-state/mens-hockey/,Arizona State,3,@,Denver,denver,/team/denver/mens-hockey/,Denver,4,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,7:07 ET,Western Michigan,western-michigan,/team/western-michigan/mens-hockey/,Western Michigan,4,@,Ferris State,ferris-state,/team/ferris-state/mens-hockey/,Ferris State,3,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,7:00 ET,Sacred Heart,sacred-heart,/team/sacred-heart/mens-hockey/,Sacred Heart,2,@,Merrimack,merrimack,/team/merrimack/mens-hockey/,Merrimack,4,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,6:07 CT,St. Cloud State,st-cloud-state,/team/st-cloud-state/mens-hockey/,St. Cloud State,3,@,Minnesota State,minnesota-state,/team/minnesota-state/mens-hockey/,Minnesota State,1,,,NC,Box Score,Spectrum 191
2022,Sat.,20211009,10/9/2021,7:00 ET,Air Force,air-force,/team/air-force/mens-hockey/,Air Force,1,@,Michigan State,michigan-state,/team/michigan-state/mens-hockey/,Michigan State,5,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,6:00 ET,LIU,liu,/team/liu/mens-hockey/,LIU,2,@,Notre Dame,notre-dame,/team/notre-dame/mens-hockey/,Notre Dame,5,,,NC,Box Score,"NBC Chi, NBC Phila, SNY"
2022,Sat.,20211009,10/9/2021,1:00 ET,Canisius,canisius,/team/canisius/mens-hockey/,Canisius,2,@,Penn State,penn-state,/team/penn-state/mens-hockey/,Penn State,5,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,7:00 ET,Bowling Green,bowling-green,/team/bowling-green/mens-hockey/,Bowling Green,3,@,Rensselaer,rensselaer,/team/rensselaer/mens-hockey/,Rensselaer,2,OT,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,7:07 AT,Clarkson,clarkson,/team/clarkson/mens-hockey/,Clarkson,1,@,Alaska,alaska,/team/alaska/mens-hockey/,Alaska,2,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,7:00 ET,Lake Superior,lake-superior,/team/lake-superior/mens-hockey/,Lake Superior,4,@,Michigan,michigan,/team/michigan/mens-hockey/,Michigan,7,,,NC,Box Score,
2022,Sat.,20211009,10/9/2021,7:07 CT,Bemidji State,bemidji-state,/team/bemidji-state/mens-hockey/,Bemidji State,1,@,Minnesota Duluth,minnesota-duluth,/team/minnesota-duluth/mens-hockey/,Minnesota Duluth,2,,,NC,Box Score,My9
2022,Sat.,20211009,10/9/2021,5:00 CT,Mercyhurst,mercyhurst,/team/mercyhurst/mens-hockey/,Mercyhurst,3,@,Minnesota,minnesota,/team/minnesota/mens-hockey/,Minnesota,5,,,NC,Box Score,BSN
2022,Sat.,20211009,10/9/2021,6:07 CT,Niagara,niagara,/team/niagara/mens-hockey/,Niagara,0,@,North Dakota,north-dakota,/team/north-dakota/mens-hockey/,North Dakota,4,,,NC,Box Score,
