2014,45,Martin Jones,/players/j/jonesma02.html,24,LAK,/teams/LAK/2014.html,19,18,12,6,0,33,500,467,.934,1.81,4,1095,13,.722,1,77,10.08,0,1,1,0
2014,46,Nikolai Khabibulin,/players/k/khabini01.html,41,CHI,/teams/CHI/2014.html,4,4,1,0,1,14,74,60,.811,5.00,0,168,1,.250,3,,,0,0,0,0
2014,47,Anton Khudobin,/players/k/khudoan01.html,27,CAR,/teams/CAR/2014.html,36,34,19,14,1,80,1076,996,.926,2.30,1,2084,22,.647,2,86,12.72,0,0,0,0
2014,48,Connor Knapp,/players/k/knappco01.html,23,BUF,/teams/BUF/2014.html,2,1,0,0,1,4,32,28,.875,3.12,0,77,0,.000,0,,,0,1,1,0
2014,49,Darcy Kuemper,/players/k/kuempda01.html,23,MIN,/teams/MIN/2014.html,26,25,12,8,4,60,702,642,.915,2.43,2,1480,12,.480,4,99,0.49,0,0,0,0
2014,50,Jason LaBarbera,/players/l/labarja01.html,34,EDM,/teams/EDM/2014.html,7,4,1,3,0,19,146,127,.870,3.28,0,348,0,.000,3,,,0,0,0,0
2014,51,Eddie Lack,/players/l/lacked01.html,26,VAN,/teams/VAN/2014.html,41,37,16,17,5,93,1052,959,.912,2.41,4,2319,20,.541,5,103,-2.35,0,0,0,0
2014,52,Nathan Lawson,/players/l/lawsona01.html,30,OTT,/teams/OTT/2014.html,1,0,,,,2,10,8,.800,10.00,0,12,0,,0,,,0,0,0,0
2014,53,Robin Lehner,/players/l/lehnero01.html,22,OTT,/teams/OTT/2014.html,36,30,12,15,6,99,1141,1042,.913,3.06,1,1942,19,.633,5,101,-0.68,0,0,0,4
2014,54,Kari Lehtonen,/players/l/lehtoka01.html,30,DAL,/teams/DAL/2014.html,65,64,33,20,10,153,1888,1735,.919,2.41,5,3804,36,.563,10,94,9.68,0,4,4,4
2014,55,Nathan Lieuwen,/players/l/lieuwna01.html,22,BUF,/teams/BUF/2014.html,7,5,1,4,0,18,191,173,.906,2.98,0,363,2,.400,0,,,0,0,0,0
2014,56,Anders Lindback,/players/l/lindban01.html,25,TBL,/teams/TBL/2014.html,23,18,8,12,2,63,580,517,.891,2.90,1,1302,6,.333,3,126,-13.02,0,0,0,2
2014,57,Henrik Lundqvist,/players/l/lundqhe01.html,31,NYR,/teams/NYR/2014.html,63,62,33,24,5,144,1810,1666,.920,2.36,5,3655,36,.581,9,92,11.96,0,4,4,0
