year,game_date,team,team_div,opponent,opponent_div,team_score,opponent_score,outcome
1999,1998-10-24,RIT,III,St. Norbert,III,5,4,1.0
1999,1998-10-24,Quinnipiac College,II,Bentley,II,7,4,1.0
1999,1998-10-24,Canisius,I,Mankato State,I,0,6,0.0
1999,1998-10-24,Rensselaer,I,Massachusetts-Lowell,I,4,8,0.0
1999,1998-10-24,St. Lawrence,I,Merrimack,I,6,3,1.0
1999,1998-10-24,Notre Dame,I,Western Michigan,I,1,2,0.0
1999,1998-10-24,Notre Dame,I,Western Michigan,I,1,2,0.0
1999,1998-10-24,Michigan,I,Alaska,I,2,1,1.0
1999,1998-10-24,Wisconsin-Eau Claire,III,Wisconsin-Stout,III,2,3,0.0
1999,1998-10-24,Ohio State,I,Michigan State,I,4,4,0.5
1999,1998-10-24,Vermont,I,Boston University,I,8,6,1.0
1999,1998-10-24,Colorado College,I,Michigan Tech,I,5,2,1.0
1999,1998-10-27,Wisconsin-River Falls,III,Wisconsin-Stout,III,2,1,1.0
1999,1998-10-30,Wisconsin-Stout,III,Air Force,I,2,3,0.0
1999,1998-10-30,Mankato State,I,Nebraska-Omaha,I,5,1,1.0
1999,1998-10-30,American International,I,Fairfield,I,3,2,1.0
1999,1998-10-30,American International,I,Fairfield,I,3,2,1.0
1999,1998-10-30,Alaska,I,Ferris State,I,3,8,0.0
1999,1998-10-30,Neumann,III,Findlay,II,0,9,0.0
1999,1998-10-30,Minnesota-Duluth,I,North Dakota,I,0,3,0.0
1999,1998-10-30,Oswego,III,Alabama-Huntsville,I,4,7,0.0
1999,1998-10-30,Elmira,III,Fredonia,III,12,1,1.0
1999,1998-10-30,Hobart,III,Buffalo State,III,4,5,0.0
1999,1998-10-30,Brockport,III,Geneseo,III,5,8,0.0
1999,1998-10-30,Worcester State,III,Potsdam,III,0,13,0.0
1999,1998-10-30,Boston University,I,Providence,I,4,5,0.0
1999,1998-10-30,Canisius,I,Quinnipiac College,II,3,6,0.0
1999,1998-10-30,Sacred Heart,I,Holy Cross,I,3,7,0.0
1999,1998-10-30,Sacred Heart,I,Holy Cross,I,3,7,0.0
1999,1998-10-30,Wisconsin-Stout,III,Air Force,I,2,3,0.0
1999,1998-10-30,Connecticut,I,Iona,I,6,3,1.0
1999,1998-10-30,Bemidji State,II,Lake Forest,III,2,1,1.0
1999,1998-10-30,Vermont,I,St. Cloud State,I,4,3,1.0
1999,1998-10-30,Army,I,Colgate,I,3,4,0.0
1999,1998-10-30,Alaska-Anchorage,I,Colorado College,I,2,8,0.0
1999,1998-10-30,Wisconsin-Stevens Point,III,St. Norbert,III,1,2,0.0
1999,1998-10-30,Merrimack,I,Massachusetts,I,2,3,0.0
1999,1998-10-30,Massachusetts-Lowell,I,Boston College,I,3,7,0.0
1999,1998-10-30,St. Michael's,II,Wentworth,III,4,3,1.0
1999,1998-10-30,Western Michigan,I,Miami,I,3,3,0.5
1999,1998-10-30,Western Michigan,I,Miami,I,3,3,0.5
1999,1998-10-30,Bowling Green,I,Michigan,I,2,5,0.0
1999,1998-10-30,Minnesota,I,Wisconsin,I,3,2,1.0
1999,1998-10-30,Marian,III,Wisconsin-Eau Claire,III,0,4,0.0
1999,1998-10-30,Northern Michigan,I,Michigan State,I,1,3,0.0
1999,1998-10-30,Denver,I,Michigan Tech,I,5,2,1.0
1999,1998-10-31,Mankato State,I,Nebraska-Omaha,I,5,6,0.0
1999,1998-10-31,Hobart,III,Neumann,III,15,0,1.0
1999,1998-10-31,Alaska,I,Ferris State,I,2,5,0.0
1999,1998-10-31,Minnesota-Duluth,I,North Dakota,I,1,4,0.0
1999,1998-10-31,Oswego,III,Alabama-Huntsville,I,3,4,0.0
1999,1998-10-31,Findlay,II,Buffalo State,III,5,0,1.0
1999,1998-10-31,Niagara,I,Ohio State,I,6,3,1.0
1999,1998-10-31,Fairfield,I,American International,I,0,5,0.0
1999,1998-10-31,Wisconsin-Stout,III,Air Force,I,1,5,0.0
1999,1998-10-31,Wentworth,III,Potsdam,III,2,1,1.0
1999,1998-10-31,Fairfield,I,American International,I,0,5,0.0
1999,1998-10-31,Canisius,I,Quinnipiac College,II,1,2,0.0
1999,1998-10-31,Army,I,Rensselaer,I,1,7,0.0
1999,1998-10-31,Geneseo,III,RIT,III,3,7,0.0
1999,1998-10-31,Holy Cross,I,Sacred Heart,I,4,1,1.0
1999,1998-10-31,Holy Cross,I,Sacred Heart,I,4,1,1.0
1999,1998-10-31,Connecticut,I,Iona,I,5,3,1.0
1999,1998-10-31,Curry,III,Salve Regina,III,8,6,1.0
1999,1998-10-31,Curry,III,Salve Regina,III,8,6,1.0
1999,1998-10-31,Bemidji State,II,Lake Forest,III,1,2,0.0
1999,1998-10-31,Wisconsin-Stout,III,Air Force,I,1,5,0.0
1999,1998-10-31,St. Lawrence,I,Colgate,I,3,1,1.0
1999,1998-10-31,Vermont,I,St. Cloud State,I,2,4,0.0
1999,1998-10-31,Worcester State,III,St. Michael's,II,3,8,0.0
1999,1998-10-31,Alaska-Anchorage,I,Colorado College,I,1,4,0.0
1999,1998-10-31,Wisconsin-Eau Claire,III,Marian,III,6,2,1.0
1999,1998-10-31,Boston College,I,Massachusetts-Lowell,I,6,4,1.0
1999,1998-10-31,Merrimack,I,Union,I,5,1,1.0
1999,1998-10-31,Western Michigan,I,Miami,I,4,7,0.0
1999,1998-10-31,Western Michigan,I,Miami,I,4,7,0.0
1999,1998-10-31,Minnesota,I,Wisconsin,I,3,2,1.0
1999,1998-10-31,Northern Michigan,I,Michigan,I,6,1,1.0
1999,1998-10-31,Providence,I,Boston University,I,6,4,1.0
1999,1998-10-31,St. Norbert,III,Wisconsin-Stevens Point,III,4,1,1.0
1999,1998-10-31,Denver,I,Michigan Tech,I,5,2,1.0
1999,1998-11-01,Stonehill,II,Johnson and Wales,III,6,8,0.0
1999,1998-11-01,New Hampshire,I,Massachusetts,I,4,1,1.0
1999,1998-11-04,Stonehill,II,Curry,III,3,2,1.0
1999,1998-11-04,Stonehill,II,Curry,III,3,2,1.0
1999,1998-11-06,Wisconsin,I,Minnesota-Duluth,I,3,1,1.0
1999,1998-11-06,St. Cloud State,I,Denver,I,3,5,0.0
1999,1998-11-06,Army,I,Nebraska-Omaha,I,6,5,1.0
1999,1998-11-06,Mankato State,I,Ferris State,I,3,3,0.5
1999,1998-11-06,Clarkson,I,North Dakota,I,2,6,0.0
1999,1998-11-06,Merrimack,I,Northeastern,I,5,4,1.0
1999,1998-11-06,Bowling Green,I,Northern Michigan,I,6,5,1.0
1999,1998-11-06,Brockport,III,Buffalo State,III,6,2,1.0
1999,1998-11-06,Lawrence,III,Northland,III,3,3,0.5
1999,1998-11-06,Worcester State,III,Assumption,II,2,7,0.0
1999,1998-11-06,Geneseo,III,Fredonia,III,3,4,0.0
1999,1998-11-06,Michigan Tech,I,Alaska-Anchorage,I,2,3,0.0
1999,1998-11-06,Oswego,III,Potsdam,III,4,1,1.0
1999,1998-11-06,New Hampshire,I,Providence,I,1,6,0.0
1999,1998-11-06,Brown,I,Harvard,I,4,1,1.0
1999,1998-11-06,Fairfield,I,Quinnipiac College,II,1,6,0.0
1999,1998-11-06,Air Force,I,Bemidji State,II,2,3,0.0
1999,1998-11-06,Canisius,I,Holy Cross,I,2,3,0.0
1999,1998-11-06,Air Force,I,Bemidji State,II,2,3,0.0
1999,1998-11-06,Sacred Heart,I,Iona,I,3,7,0.0
1999,1998-11-06,Sacred Heart,I,Iona,I,3,7,0.0
1999,1998-11-06,St. Norbert,III,Lake Forest,III,6,6,0.5
1999,1998-11-06,Miami,I,Alaska,I,2,3,0.0
1999,1998-11-06,Connecticut,I,American International,I,2,2,0.5
1999,1998-11-06,Massachusetts-Lowell,I,Maine,I,2,3,0.0
1999,1998-11-06,Mercyhurst,II,Bentley,II,5,6,0.0
1999,1998-11-06,Rensselaer,I,Union,I,3,2,1.0
1999,1998-11-06,Fitchburg State,III,Wentworth,III,5,4,1.0
1999,1998-11-06,Connecticut,I,American International,I,2,2,0.5
1999,1998-11-06,Notre Dame,I,Boston College,I,5,5,0.5
1999,1998-11-06,Lake Superior,I,Western Michigan,I,2,2,0.5
1999,1998-11-06,Lake Superior,I,Western Michigan,I,2,2,0.5
1999,1998-11-06,Niagara,I,Cornell,I,2,3,0.0
1999,1998-11-06,Wisconsin-River Falls,III,Wisconsin-Eau Claire,III,4,3,1.0
1999,1998-11-06,Princeton,I,Boston University,I,1,9,0.0
1999,1998-11-06,Ohio State,I,Michigan State,I,1,3,0.0
1999,1998-11-06,Wisconsin-Stout,III,Wisconsin-Stevens Point,III,7,9,0.0
1999,1998-11-06,Elmira,III,Alabama-Huntsville,I,1,5,0.0
1999,1998-11-06,St. Scholastica,III,Wisconsin-Superior,III,1,4,0.0
1999,1998-11-06,Colorado College,I,Minnesota,I,7,1,1.0
1999,1998-11-07,Wisconsin,I,Minnesota-Duluth,I,3,1,1.0
1999,1998-11-07,St. Cloud State,I,Denver,I,6,3,1.0
1999,1998-11-07,Army,I,Nebraska-Omaha,I,2,1,1.0
1999,1998-11-07,Providence,I,New Hampshire,I,1,3,0.0
1999,1998-11-07,Plymouth State,III,New Hampshire College,II,2,3,0.0
1999,1998-11-07,Salve Regina,III,Nichols,III,7,2,1.0
1999,1998-11-07,Mankato State,I,Ferris State,I,1,3,0.0
1999,1998-11-07,Clarkson,I,North Dakota,I,1,5,0.0
1999,1998-11-07,Notre Dame,I,Northeastern,I,4,3,1.0
1999,1998-11-07,Bowling Green,I,Northern Michigan,I,1,4,0.0
1999,1998-11-07,Fitchburg State,III,Assumption,II,9,1,1.0
1999,1998-11-07,Lawrence,III,Northland,III,2,6,0.0
1999,1998-11-07,Geneseo,III,Buffalo State,III,5,1,1.0
1999,1998-11-07,Brockport,III,Fredonia,III,1,6,0.0
1999,1998-11-07,Oswego,III,Plattsburgh,III,0,4,0.0
1999,1998-11-07,Canisius,I,Holy Cross,I,4,4,0.5
1999,1998-11-07,Air Force,I,Bemidji State,II,3,7,0.0
1999,1998-11-07,Air Force,I,Bemidji State,II,3,7,0.0
1999,1998-11-07,Iona,I,Sacred Heart,I,5,3,1.0
1999,1998-11-07,Iona,I,Sacred Heart,I,5,3,1.0
1999,1998-11-07,Framingham State,III,Johnson and Wales,III,3,6,0.0
1999,1998-11-07,Curry,III,St. Michael's,II,1,8,0.0
1999,1998-11-07,Curry,III,St. Michael's,II,1,8,0.0
1999,1998-11-07,Lake Forest,III,St. Norbert,III,1,7,0.0
1999,1998-11-07,Mercyhurst,II,Bentley,II,5,6,0.0
1999,1998-11-07,Massachusetts-Lowell,I,Maine,I,2,5,0.0
1999,1998-11-07,Elmira,III,Alabama-Huntsville,I,7,8,0.0
1999,1998-11-07,American International,I,Connecticut,I,1,3,0.0
1999,1998-11-07,Miami,I,Alaska,I,2,5,0.0
1999,1998-11-07,American International,I,Connecticut,I,1,3,0.0
1999,1998-11-07,Ohio State,I,Western Michigan,I,2,2,0.5
1999,1998-11-07,Ohio State,I,Western Michigan,I,2,2,0.5
1999,1998-11-07,Scranton,III,Western New England,III,4,6,0.0
1999,1998-11-07,Wisconsin-River Falls,III,Wisconsin-Eau Claire,III,8,3,1.0
1999,1998-11-07,Lake Superior,I,Michigan State,I,1,2,0.0
1999,1998-11-07,Wisconsin-Stevens Point,III,Wisconsin-Stout,III,6,3,1.0
1999,1998-11-07,St. Scholastica,III,Wisconsin-Superior,III,1,5,0.0
1999,1998-11-07,Michigan Tech,I,Alaska-Anchorage,I,2,1,1.0
1999,1998-11-07,Wentworth,III,Worcester State,III,6,1,1.0
1999,1998-11-07,Colorado College,I,Minnesota,I,6,1,1.0
1999,1998-11-08,Harvard,I,Massachusetts,I,3,1,1.0
1999,1998-11-08,Niagara,I,Dartmouth,I,5,8,0.0
1999,1998-11-10,Elmira,III,Buffalo State,III,8,2,1.0
1999,1998-11-10,Geneseo,III,Hobart,III,2,4,0.0
1999,1998-11-10,Wisconsin-Stevens Point,III,St. Mary's,III,4,1,1.0
1999,1998-11-10,Northeastern,I,Merrimack,I,3,4,0.0
1999,1998-11-10,Salve Regina,III,Western New England,III,2,7,0.0
1999,1998-11-10,St. Thomas,III,Wisconsin-Stout,III,4,5,0.0
1999,1998-11-11,Johnson and Wales,III,Nichols,III,6,7,0.0
1999,1998-11-11,Stonehill,II,Fitchburg State,III,5,5,0.5
1999,1998-11-11,Framingham State,III,Curry,III,3,5,0.0
1999,1998-11-11,Framingham State,III,Curry,III,3,5,0.0
1999,1998-11-12,Western New England,III,Worcester State,III,6,3,1.0
1999,1998-11-13,Boston University,I,New Hampshire,I,2,2,0.5
1999,1998-11-13,Holy Cross,I,Fairfield,I,7,0,1.0
1999,1998-11-13,Lake Superior,I,Ferris State,I,1,1,0.5
1999,1998-11-13,Colgate,I,Brown,I,3,2,1.0
1999,1998-11-13,Merrimack,I,Army,I,5,3,1.0
1999,1998-11-13,Bowling Green,I,Notre Dame,I,2,6,0.0
1999,1998-11-13,Lebanon Valley,III,Framingham State,III,6,4,1.0
1999,1998-11-13,Michigan State,I,Ohio State,I,2,3,0.0
1999,1998-11-13,Brockport,III,Oswego,III,3,6,0.0
1999,1998-11-13,Fredonia,III,Plattsburgh,III,3,6,0.0
1999,1998-11-13,Buffalo State,III,Potsdam,III,2,6,0.0
1999,1998-11-13,Iona,I,Canisius,I,3,2,1.0
1999,1998-11-13,Minnesota-Duluth,I,Providence,I,2,7,0.0
1999,1998-11-13,Cornell,I,Harvard,I,7,2,1.0
1999,1998-11-13,Yale,I,Clarkson,I,1,3,0.0
1999,1998-11-13,American International,I,Sacred Heart,I,6,2,1.0
1999,1998-11-13,Michigan Tech,I,St. Cloud State,I,3,1,1.0
1999,1998-11-13,Wisconsin-Superior,III,Bemidji State,II,1,3,0.0
1999,1998-11-13,Princeton,I,St. Lawrence,I,2,0,1.0
1999,1998-11-13,Denver,I,Colorado College,I,4,6,0.0
1999,1998-11-13,Bethel,III,Air Force,I,2,9,0.0
1999,1998-11-13,Alabama-Huntsville,I,Mankato State,I,4,4,0.5
1999,1998-11-13,Alabama-Huntsville,I,Mankato State,I,4,4,0.5
1999,1998-11-13,Concordia (Minn.),III,St. Thomas,III,2,5,0.0
1999,1998-11-13,Maine,I,Massachusetts,I,1,2,0.0
1999,1998-11-13,Northeastern,I,Boston College,I,5,4,1.0
1999,1998-11-13,Quinnipiac College,II,Connecticut,I,1,2,0.0
1999,1998-11-13,Union,I,Vermont,I,1,4,0.0
1999,1998-11-13,Northern Michigan,I,Miami,I,4,3,1.0
1999,1998-11-13,Alaska-Anchorage,I,Wisconsin,I,1,2,0.0
1999,1998-11-13,Bethel,III,Air Force,I,2,9,0.0
1999,1998-11-13,Alaska,I,Michigan,I,3,6,0.0
1999,1998-11-13,Lake Forest,III,Wisconsin-Stevens Point,III,4,3,1.0
1999,1998-11-13,Gustavus Adolphus,III,Wisconsin-Stout,III,5,4,1.0
1999,1998-11-13,Rensselaer,I,Dartmouth,I,8,5,1.0
1999,1998-11-13,North Dakota,I,Minnesota,I,4,4,0.5
1999,1998-11-14,Colorado College,I,Denver,I,0,6,0.0
1999,1998-11-14,Alaska,I,Bowling Green,I,6,5,1.0
1999,1998-11-14,Lake Superior,I,Ferris State,I,3,1,1.0
1999,1998-11-14,Massachusetts-Lowell,I,Army,I,4,3,1.0
1999,1998-11-14,Boston College,I,Northeastern,I,6,3,1.0
1999,1998-11-14,Cornell,I,Brown,I,3,1,1.0
1999,1998-11-14,Johnson and Wales,III,Fitchburg State,III,1,8,0.0
1999,1998-11-14,Bentley,II,Norwich,III,5,7,0.0
1999,1998-11-14,Michigan,I,Notre Dame,I,2,2,0.5
1999,1998-11-14,Northern Michigan,I,Ohio State,I,2,4,0.0
1999,1998-11-14,Geneseo,III,Oswego,III,5,8,0.0
1999,1998-11-14,Buffalo State,III,Plattsburgh,III,1,7,0.0
1999,1998-11-14,Nichols,III,Plymouth State,III,4,8,0.0
1999,1998-11-14,Wisconsin-River Falls,III,Gustavus Adolphus,III,3,4,0.0
1999,1998-11-14,Fredonia,III,Potsdam,III,2,1,1.0
1999,1998-11-14,Iona,I,Canisius,I,6,4,1.0
1999,1998-11-14,Minnesota-Duluth,I,Providence,I,5,4,1.0
1999,1998-11-14,Colgate,I,Harvard,I,6,3,1.0
1999,1998-11-14,Elmira,III,Hobart,III,9,1,1.0
1999,1998-11-14,Princeton,I,Clarkson,I,4,3,1.0
1999,1998-11-14,Connecticut,I,Quinnipiac College,II,3,8,0.0
1999,1998-11-14,Fairfield,I,Holy Cross,I,2,7,0.0
1999,1998-11-14,St. Michael's,II,Salve Regina,III,12,1,1.0
1999,1998-11-14,Wisconsin-Superior,III,Bemidji State,II,5,3,1.0
1999,1998-11-14,Michigan Tech,I,St. Cloud State,I,3,2,1.0
1999,1998-11-14,Yale,I,St. Lawrence,I,1,3,0.0
1999,1998-11-14,Sacred Heart,I,American International,I,1,4,0.0
1999,1998-11-14,Alabama-Huntsville,I,Mankato State,I,2,5,0.0
1999,1998-11-14,Bethel,III,Air Force,I,0,5,0.0
1999,1998-11-14,Concordia (Minn.),III,St. Thomas,III,4,3,1.0
1999,1998-11-14,Alabama-Huntsville,I,Mankato State,I,2,5,0.0
1999,1998-11-14,Stonehill,II,Suffolk,III,2,1,1.0
1999,1998-11-14,St. Olaf,III,Marian,III,3,4,0.0
1999,1998-11-14,Maine,I,Massachusetts,I,1,1,0.5
1999,1998-11-14,Lebanon Valley,III,Massachusetts-Dartmouth,III,0,3,0.0
1999,1998-11-14,Findlay,II,Mercyhurst,II,1,2,0.0
1999,1998-11-14,Rensselaer,I,Vermont,I,0,2,0.0
1999,1998-11-14,Wentworth,III,Western New England,III,5,3,1.0
1999,1998-11-14,Michigan State,I,Miami,I,5,0,1.0
1999,1998-11-14,New Hampshire,I,Boston University,I,3,1,1.0
1999,1998-11-14,Alaska-Anchorage,I,Wisconsin,I,2,2,0.5
1999,1998-11-14,Lake Forest,III,Wisconsin-Stevens Point,III,3,4,0.0
1999,1998-11-14,Bethel,III,Air Force,I,0,5,0.0
1999,1998-11-14,North Dakota,I,Minnesota,I,5,3,1.0
1999,1998-11-14,Union,I,Dartmouth,I,1,5,0.0
1999,1998-11-15,Iona,I,Hobart,III,4,6,0.0
1999,1998-11-15,Iona,I,Hobart,III,4,6,0.0
1999,1998-11-17,New Hampshire College,II,New England College,III,5,3,1.0
1999,1998-11-17,Suffolk,III,Salve Regina,III,3,6,0.0
1999,1998-11-17,Marian,III,Lawrence,III,7,1,1.0
1999,1998-11-17,Assumption,II,Western New England,III,6,5,1.0
1999,1998-11-17,Gustavus Adolphus,III,Wisconsin-Eau Claire,III,0,3,0.0
1999,1998-11-17,St. John's,III,Wisconsin-Superior,III,4,6,0.0
1999,1998-11-18,Curry,III,Fitchburg State,III,2,9,0.0
1999,1998-11-18,Curry,III,Fitchburg State,III,2,9,0.0
1999,1998-11-18,Plymouth State,III,Stonehill,II,4,0,1.0
1999,1998-11-18,Johnson and Wales,III,Massachusetts-Dartmouth,III,4,5,0.0
1999,1998-11-19,Nichols,III,Western New England,III,2,5,0.0
1999,1998-11-19,Wisconsin-River Falls,III,Wisconsin-Stout,III,4,2,1.0
1999,1998-11-20,Wisconsin,I,Denver,I,3,0,1.0
1999,1998-11-20,Williams,III,New England College,III,7,1,1.0
1999,1998-11-20,Nebraska-Omaha,I,Niagara,I,0,4,0.0
1999,1998-11-20,RIT,III,Brockport,III,5,0,1.0
1999,1998-11-20,Colorado College,I,North Dakota,I,5,4,1.0
1999,1998-11-20,Ferris State,I,Northern Michigan,I,2,0,1.0
1999,1998-11-20,Findlay,II,Buffalo State,III,8,0,1.0
1999,1998-11-20,Western Michigan,I,Notre Dame,I,5,9,0.0
1999,1998-11-20,Western Michigan,I,Notre Dame,I,5,9,0.0
1999,1998-11-20,American International,I,Canisius,I,5,5,0.5
1999,1998-11-20,Miami,I,Ohio State,I,1,2,0.0
1999,1998-11-20,American International,I,Canisius,I,5,5,0.5
1999,1998-11-20,Harvard,I,Princeton,I,2,3,0.0
1999,1998-11-20,Sacred Heart,I,Quinnipiac College,II,2,7,0.0
1999,1998-11-20,Sacred Heart,I,Quinnipiac College,II,2,7,0.0
1999,1998-11-20,Union,I,Rensselaer,I,5,4,1.0
1999,1998-11-20,Connecticut,I,Holy Cross,I,2,1,1.0
1999,1998-11-20,Fairfield,I,Iona,I,3,11,0.0
1999,1998-11-20,St. Norbert,III,Bemidji State,II,4,0,1.0
1999,1998-11-20,Skidmore,III,Colby,III,1,10,0.0
1999,1998-11-20,St. Mary's,III,Lake Forest,III,4,4,0.5
1999,1998-11-20,Potsdam,III,Southern Maine,III,2,1,1.0
1999,1998-11-20,Mass Coll Lib Arts,III,St. Anselm,II,5,5,0.5
1999,1998-11-20,Minnesota-Duluth,I,St. Cloud State,I,3,4,0.0
1999,1998-11-20,Vermont,I,Colgate,I,2,7,0.0
1999,1998-11-20,Framingham State,III,Bentley,II,3,9,0.0
1999,1998-11-20,Providence,I,Maine,I,1,6,0.0
1999,1998-11-20,Babson,III,Trinity,III,3,5,0.0
1999,1998-11-20,Air Force,I,Concordia (Minn.),III,1,2,0.0
1999,1998-11-20,Air Force,I,Concordia (Minn.),III,1,2,0.0
1999,1998-11-20,Merrimack,I,Massachusetts-Lowell,I,3,4,0.0
1999,1998-11-20,Norwich,III,Wesleyan,III,8,4,1.0
1999,1998-11-20,Middlebury,III,Connecticut College,III,3,6,0.0
1999,1998-11-20,Dartmouth,I,Cornell,I,1,3,0.0
1999,1998-11-20,Boston University,I,Boston College,I,2,6,0.0
1999,1998-11-20,Michigan State,I,Michigan,I,1,2,0.0
1999,1998-11-20,Wisconsin-Stout,III,Wisconsin-River Falls,III,1,9,0.0
1999,1998-11-20,Wisconsin-Eau Claire,III,Wisconsin-Superior,III,3,7,0.0
1999,1998-11-20,Brown,I,Yale,I,3,5,0.0
1999,1998-11-20,Hamilton,III,Bowdoin,III,4,4,0.5
1999,1998-11-20,Minnesota,I,Alaska-Anchorage,I,3,5,0.0
1999,1998-11-21,St. Cloud State,I,Minnesota-Duluth,I,4,1,1.0
